MetaItr,TestItr,AverageReturnLastTest,0AverageReturn,0NumTrajs,0StdReturn,0MaxReturn,0MinReturn,stage0_task0last_goal_dist,stage0_task1last_goal_dist,stage0_task2last_goal_dist,1AverageReturn,1NumTrajs,1StdReturn,1MaxReturn,1MinReturn,stage1_task0last_goal_dist,stage1_task1last_goal_dist,stage1_task2last_goal_dist,ILLoss,Time,ItrTime
18,0,408.06604503046213,402.6303316232921,30,21.019578197539836,449.8868023439769,361.2444840480352,1.7376963934654608,1.7971421159121974,1.6137836090169522,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,1.338863,763.0474638938904,30.976975917816162
19,1,405.25463596219043,409.3236926650665,30,20.023739774114567,452.65187550931023,374.51579316446384,1.7335615283180172,1.6817634346706156,1.5861626615968,405.25463596219043,30,16.623696648246746,429.54530648105504,378.92082804945335,1.2619030060839003,1.6981864730719163,1.6411752478099593,nan,772.3519032001495,9.2982017993927
19,0,405.25463596219043,404.82211148527455,30,26.563377160078446,460.16882345002625,335.1792308643513,1.7744366631140154,1.6746586291506091,1.6728449649750665,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.9774663,803.5379829406738,31.17210078239441
20,1,428.691569831875,412.202081709385,30,20.685795462233127,451.4211914016087,379.3065502279519,1.6557319342405457,1.6522378134931142,1.6710802025169358,428.691569831875,30,27.266639346010002,470.9542975648849,377.71623704994914,1.4919283337856122,1.3249522686090098,1.6932573184432607,nan,812.9027643203735,9.359105110168457
20,0,428.691569831875,404.5950252176644,30,18.72538666811884,441.6088827844703,373.6841737754171,1.7599385500147213,1.7498554583873829,1.7237268367533503,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.7900951,844.0316052436829,31.125898838043213
21,1,432.52097694601446,404.0912344462592,30,21.99654876133398,452.7258709338678,367.584700562067,1.6543885573996344,1.567497255293692,1.6815895404209844,432.52097694601446,30,8.160023096978069,445.11221033629545,421.3724988867338,1.3814274259385146,1.1777094781027437,1.0360642869286578,nan,853.2116317749023,9.170279264450073
21,0,432.52097694601446,408.53358499093525,30,25.138999299102974,458.17502085936064,362.8363319553668,1.6436531242847903,1.6035848563001616,1.5289261788540238,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.6028149,884.0635287761688,30.845834970474243
22,1,414.9037767029967,401.283728044622,30,25.249619833848115,487.57097103106804,340.2272598504775,1.6527227695186302,1.695535201673638,1.6402459967343088,414.9037767029967,30,54.163880099577526,456.01387778758067,329.21972586008513,0.8800268199334969,1.8161186336514803,1.2268012453510289,nan,893.1007173061371,9.030299425125122
22,0,414.9037767029967,406.34999670495637,30,20.403013831560244,449.7727112410374,364.15910400529447,1.7862818059968888,1.6270172687896438,1.5471368122337545,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.506923,923.7407464981079,30.633244276046753
23,1,456.61240799296854,410.768214915134,30,21.13548114750913,489.51221623526396,382.74888446107946,1.6493245543945048,1.5902556053277843,1.7724514819196227,456.61240799296854,30,27.645522816571138,486.2283155675373,411.8860841925541,0.6160482014342145,1.2298229685496387,0.6413832214750858,nan,933.548333644867,9.799041509628296
23,0,456.61240799296854,416.87457371378866,30,26.895413516125444,487.97008233913135,361.30781689915386,1.5231194062077535,1.6297659909633837,1.6165298951546319,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.45972884,964.3642270565033,30.80464816093445
24,1,433.8550423595159,413.6411697637617,30,21.09789045554834,465.98082235474055,366.3517727086236,1.6776486540040025,1.5972949448350766,1.604895777141346,433.8550423595159,30,32.469734504120616,483.69289353361376,384.87556694834126,1.52401591183106,1.5080066641901149,0.8519072487358523,nan,973.4525957107544,9.081174612045288
24,0,433.8550423595159,415.11961839837556,30,22.46299240278356,458.60943849928,371.46791452176507,1.7378068480417,1.6587863791098445,1.629193543762586,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.42836085,1004.2824547290802,30.82298445701599
25,1,447.3648146615216,417.940961534033,30,27.011939562191177,498.2307737294863,366.4247984391941,1.6247198046659157,1.5184487974634477,1.548392431055961,447.3648146615216,30,33.011053295234106,495.65885835710026,399.82739799634453,0.7588779738051644,1.451162865742152,1.5817350317169174,nan,1013.6773655414581,9.389567852020264
25,0,447.3648146615216,421.4128675129476,30,25.98061082698329,489.7426595790016,376.5915191948205,1.6404799144315052,1.6651580212396073,1.4916245625212539,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.39875206,1044.5509536266327,30.862064599990845
26,1,433.77809164157156,420.6825233679911,30,22.888725254294762,471.7739167591425,371.00367305416114,1.618900467884161,1.6996150154824636,1.4786527525784454,433.77809164157156,30,21.604620124781608,479.4835843518163,398.68240833068154,1.1776389141985126,1.2830283402924973,1.042947834886241,nan,1053.6580197811127,9.098374366760254
26,0,433.77809164157156,427.19818788551316,30,31.449587479555557,510.8864081230255,365.1890580560507,1.5837224927148872,1.4251153238751517,1.4042830121530003,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.37131944,1084.3347401618958,30.673013925552368
27,1,449.2092893012177,432.81237282215164,30,26.593044774140193,502.73605519570174,397.89574407130675,1.6277259533006103,1.4609735799637122,1.5596470952762422,449.2092893012177,30,16.58873345505004,472.3163269035683,427.4866991803671,1.100819665282622,1.5702263802881538,1.4040864294041693,nan,1093.5948448181152,9.253255844116211
27,0,449.2092893012177,419.0630030653858,30,22.686388083620756,490.098382959676,362.4513136817948,1.5777953008942724,1.7474341741995822,1.561973442288904,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.3535807,1124.3392162322998,30.735918521881104
28,1,443.2182801374283,431.90145974334666,30,22.396169130016542,468.5245773474948,373.68155571230216,1.4460786919738375,1.4973854362032442,1.5529922984691413,443.2182801374283,30,15.634825138510472,465.8930943387958,404.38319096758096,1.3709006296924298,1.4022022338543247,1.4433491883930079,nan,1133.4795260429382,9.130654335021973
28,0,443.2182801374283,428.232916354501,30,22.87993510531348,465.39265988950785,378.4150458285567,1.505030925196507,1.657749278318289,1.5515586255265805,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.33897874,1164.4616050720215,30.975948810577393
29,1,481.50822822654857,424.20023785407597,30,23.590729969533747,472.20503690768936,372.5355132380785,1.5408587036796966,1.5851162090219801,1.6842506046241255,481.50822822654857,30,25.8122436513186,514.1451888245738,443.80353658864897,1.038786186780116,1.11394197470412,1.481484775186118,nan,1173.7682008743286,9.300487041473389
29,0,481.50822822654857,424.83866351636686,30,27.094043653130377,490.171865106396,376.76907156254936,1.6723924317803966,1.6195995307979458,1.519342544360652,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.32473552,1204.5807824134827,30.80006217956543
30,1,444.1021702868126,427.96858855198775,30,25.552038952538968,485.8100825421765,375.3188010095509,1.477601283121943,1.569349516828317,1.7273491494535502,444.1021702868126,30,15.8507630714357,471.6726640086247,423.25057852148126,1.3802421256980035,1.0711023218732003,1.3741816845070673,nan,1213.9548194408417,9.367812156677246
30,0,444.1021702868126,436.2053983458984,30,34.82340908608016,529.1509269241667,381.89363806423387,1.6308561955652372,1.267695415089857,1.5331608458223966,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.3108522,1245.0595908164978,31.10008478164673
31,1,358.4673044852679,428.83754789113175,30,20.989890591365036,471.3580921236799,389.2693925161134,1.5624169425899421,1.518056950500518,1.5626148336639767,358.4673044852679,39,101.0056050836164,501.08554405699283,259.00089712420436,0.8404544718973296,1.115325825866505,1.6573647711010762,nan,1254.78129529953,9.713449478149414
31,0,358.4673044852679,419.2427097657347,30,18.511885103581168,468.1177169685478,385.3947173746174,1.6457733639424403,1.674061912238012,1.5943569293589004,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.29953846,1285.5956761837006,30.81152081489563
32,1,523.7803729845115,431.0117578089124,30,28.059814717491385,515.3546489350972,387.2108333221615,1.5758110221417634,1.5394014845991513,1.5002056863181417,523.7803729845115,30,13.364992588889919,538.9358840969494,501.17618709376165,0.5468509030866617,0.6757132043281642,0.9782320453218641,nan,1294.5799779891968,8.979335308074951
32,0,523.7803729845115,427.22458976126705,30,20.57718424042654,490.8694939467573,387.85729490582395,1.4877897265768332,1.5486778383401039,1.5651024755101748,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.28649026,1325.5466392040253,30.960312128067017
33,1,534.8426294444228,441.0988285594689,30,27.12788692102139,491.4251488013741,395.44906842869324,1.4888606294651416,1.33602419243717,1.394318786565975,534.8426294444228,30,31.135752507965865,559.3874956005055,475.3569399874797,0.8857998765672612,0.8010884091702734,0.4675405663936484,nan,1334.7063941955566,9.155919075012207
33,0,534.8426294444228,449.2090374371098,30,32.81317330707704,541.5456546590499,397.46071772883465,1.3135747859034201,1.3258010844654504,1.4306814003245445,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.27769744,1365.741141796112,31.03084659576416
34,1,530.3958225627432,439.12596988700926,30,24.412610960407164,485.60105072639465,387.93224301793606,1.4880801284274792,1.3884864366793026,1.4995612154759972,530.3958225627432,30,50.4214405882738,594.5323912490768,465.4864663692978,0.25749879673519294,1.2977432013218455,1.0370497139243644,nan,1374.8052213191986,9.056884527206421
34,0,530.3958225627432,439.06241148850125,30,23.327462448729996,500.4018801330034,402.77441039328613,1.3416303046094877,1.4744521105053303,1.4867120490052783,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.26756537,1405.478077173233,30.66875958442688
35,1,537.952428972893,437.06923569296174,30,29.153879867778294,504.9826119506131,396.72022181126766,1.5281289082544487,1.4202485852844102,1.5099058137064791,537.952428972893,30,16.275813962736805,555.328787927976,504.61179229438295,0.7457997518308093,0.5890242734508417,0.6023925282556296,nan,1414.430946111679,8.94600796699524
35,0,537.952428972893,439.45476671798207,30,23.872948531881864,505.6686840086144,392.40861064904186,1.5353176029504971,1.4013105235092858,1.5220502737218182,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.25824332,1445.015321969986,30.578848123550415
36,1,543.000447404536,448.93443397049793,30,29.9522305521701,512.6237336714341,398.71475993323395,1.323667087858447,1.5406792420860853,1.2180706786148872,543.000447404536,30,36.068510178849394,592.2178210059362,497.34805274333996,0.6945256019071498,0.7411436186136598,0.41802114552375425,nan,1454.0159003734589,8.992794036865234
36,0,543.000447404536,440.2928907263034,30,28.842140024504733,533.0818757974879,398.04395488418504,1.3522073599267828,1.517698189857493,1.4186685902051173,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.2500138,1484.8431644439697,30.818584203720093
37,1,535.5643552461705,439.6638265087015,30,28.115489067257652,503.06215462721474,395.0270600774095,1.5689332892743129,1.4134440428791517,1.4718665485772162,535.5643552461705,30,8.83153833967624,550.6476864809813,524.5321250902826,1.0313846574509404,0.7078569989976883,1.241908387462622,nan,1493.913057565689,9.061195850372314
37,0,535.5643552461705,438.7643909238289,30,24.85489897266718,487.41672940563944,394.2097489693572,1.5079187269006276,1.3423085465306912,1.4079237406489065,549.4342530646903,60,29.81410899954589,619.6496334479974,482.34609485501346,nan,nan,nan,0.24223499,1524.599693775177,30.68195629119873
